iter	Passed	Remaining
0	131	131726
1	249	124495
2	361	120211
3	494	123228
4	612	121934
5	726	120331
6	839	119031
7	941	116803
8	1046	115265
9	1166	115515
10	1281	115219
11	1391	114571
12	1488	113010
13	1584	111559
14	1710	112295
15	1814	111570
16	1908	110342
17	2009	109639
18	2109	108935
19	2229	109265
20	2331	108702
21	2433	108159
22	2526	107341
23	2624	106716
24	2721	106121
25	2819	105612
26	2914	105047
27	3010	104507
28	3125	104648
29	3223	104212
30	3323	103875
31	3419	103449
32	3532	103498
33	3639	103416
34	3745	103280
35	3842	102887
36	3942	102600
37	4035	102153
38	4133	101849
39	4233	101605
40	4332	101326
41	4435	101173
42	4552	101327
43	4653	101117
44	4768	101190
45	4863	100857
46	4957	100523
47	5061	100376
48	5160	100160
49	5268	100101
50	5373	99995
51	5471	99757
52	5578	99678
53	5676	99437
54	5783	99363
55	5882	99158
56	5975	98852
57	6077	98702
58	6181	98582
59	6277	98341
60	6378	98192
61	6476	97981
62	6599	98152
63	6697	97952
64	6792	97709
65	6896	97596
66	7004	97539
67	7100	97317
68	7198	97121
69	7292	96884
70	7390	96701
71	7483	96449
72	7595	96455
73	7709	96466
74	7819	96435
75	7919	96284
76	8023	96174
77	8140	96224
78	8239	96057
79	8342	95942
80	8452	95896
81	8574	95991
82	8703	96157
83	8804	96015
84	8897	95783
85	8991	95565
86	9095	95454
87	9200	95351
88	9296	95156
89	9398	95031
90	9501	94908
91	9614	94893
92	9713	94731
93	9807	94528
94	9907	94377
95	10020	94361
96	10128	94292
97	10233	94192
98	10340	94112
99	10439	93957
100	10533	93756
101	10648	93746
102	10757	93680
103	10860	93564
104	10965	93471
105	11064	93318
106	11171	93234
107	11281	93175
108	11380	93026
109	11483	92911
110	11611	92997
111	11714	92876
112	11814	92736
113	11920	92643
114	12032	92600
115	12142	92533
116	12248	92439
117	12351	92321
118	12452	92193
119	12586	92301
120	12691	92196
121	12792	92063
122	12887	91888
123	12994	91800
124	13097	91683
125	13211	91643
126	13308	91479
127	13412	91372
128	13514	91250
129	13629	91215
130	13730	91084
131	13845	91042
132	13953	90957
133	14061	90872
134	14178	90844
135	14286	90758
136	14390	90648
137	14494	90540
138	14623	90579
139	14739	90540
140	14847	90456
141	14960	90395
142	15069	90309
143	15169	90174
144	15277	90086
145	15383	89984
146	15483	89848
147	15593	89767
148	15719	89779
149	15835	89731
150	15947	89663
151	16054	89568
152	16163	89481
153	16269	89377
154	16382	89312
155	16493	89235
156	16604	89155
157	16722	89115
158	16821	88972
159	16931	88891
160	17035	88773
161	17140	88666
162	17252	88589
163	17358	88487
164	17458	88350
165	17569	88271
166	17677	88175
167	17793	88117
168	17895	87992
169	17992	87846
170	18092	87712
171	18198	87605
172	18303	87495
173	18403	87363
174	18516	87291
175	18621	87182
176	18743	87154
177	18853	87062
178	18963	86977
179	19074	86897
180	19171	86748
181	19280	86656
182	19389	86562
183	19493	86450
184	19604	86367
185	19704	86235
186	19810	86129
187	19909	85990
188	20004	85838
189	20101	85696
190	20209	85599
191	20326	85538
192	20426	85412
193	20523	85267
194	20616	85110
195	20732	85045
196	20825	84887
197	20935	84799
198	21036	84676
199	21126	84507
200	21243	84446
201	21353	84356
202	21465	84275
203	21574	84183
204	21668	84032
205	21783	83960
206	21874	83798
207	21969	83653
208	22071	83535
209	22182	83447
210	22305	83409
211	22416	83320
212	22522	83215
213	22630	83120
214	22757	83090
215	22859	82971
216	22958	82842
217	23064	82734
218	23177	82654
219	23283	82549
220	23405	82501
221	23511	82396
222	23616	82287
223	23725	82192
224	23853	82163
225	23968	82088
226	24069	81963
227	24172	81847
228	24281	81752
229	24389	81651
230	24494	81541
231	24605	81451
232	24704	81323
233	24815	81233
234	24923	81135
235	25022	81003
236	25118	80865
237	25232	80786
238	25339	80683
239	25455	80608
240	25565	80514
241	25685	80452
242	25816	80423
243	25935	80357
244	26044	80260
245	26161	80184
246	26276	80105
247	26389	80018
248	26493	79907
249	26595	79785
250	26709	79701
251	26814	79593
252	26930	79515
253	27040	79419
254	27149	79319
255	27261	79228
256	27372	79135
257	27494	79073
258	27601	78967
259	27715	78881
260	27826	78788
261	27949	78727
262	28055	78618
263	28156	78496
264	28261	78386
265	28367	78278
266	28482	78194
267	28588	78084
268	28698	77986
269	28799	77864
270	28932	77829
271	29041	77729
272	29142	77605
273	29253	77511
274	29372	77437
275	29489	77356
276	29588	77229
277	29688	77104
278	29797	77002
279	29904	76897
280	30017	76806
281	30132	76719
282	30247	76633
283	30356	76532
284	30460	76417
285	30572	76323
286	30682	76224
287	30785	76107
288	30895	76009
289	31014	75933
290	31113	75805
291	31220	75698
292	31328	75593
293	31438	75496
294	31561	75426
295	31656	75290
296	31751	75156
297	31871	75080
298	31981	74981
299	32097	74894
300	32213	74807
301	32314	74686
302	32436	74614
303	32566	74560
304	32670	74446
305	32774	74330
306	32870	74199
307	32976	74090
308	33089	73997
309	33199	73895
310	33299	73772
311	33398	73647
312	33501	73532
313	33612	73433
314	33716	73320
315	33818	73202
316	33921	73085
317	34036	72996
318	34139	72880
319	34246	72774
320	34352	72665
321	34465	72570
322	34566	72449
323	34681	72359
324	34786	72248
325	34890	72134
326	34992	72017
327	35110	71933
328	35227	71846
329	35336	71744
330	35449	71648
331	35547	71523
332	35671	71449
333	35776	71339
334	35892	71249
335	35987	71117
336	36098	71018
337	36234	70968
338	36358	70894
339	36480	70814
